职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
java开发工程师,58599,依能科技,150-500人,教育,3-5年,成都,8k-13k,本科,全职,"['技能培训', '节日礼物', '年底双薪', '股票期权']",专业软件研发公司，教育行业
高级java开发工程师,197005,乐劲科技,50-150人,"移动互联网,社交",5-10年,成都,18k-28k,本科,全职,"['股票期权', '带薪年假', '节日礼物', '美女多']",国际化团队 发展快 千万级用户app
Java开发工程师,27215,神州信息,2000人以上,金融,3-5年,上海,12k-15k,本科,全职,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",银行业最前沿的微服务架构项目
高级后台工程师（Go/Java/C++）,28121,KLOOK 客路旅行,500-2000人,旅游,5-10年,深圳,30k-40k,本科,全职,"['扁平管理', '国际化团队', '旅游基金', '定期体检']",D+轮融资
java开发工程师,17751,人人车,2000人以上,汽车丨出行,1-3年,北京,10k-20k,本科,全职,"['岗位晋升', '扁平管理', '个人成长快', '牛人多']",地铁周边、高速发展、氛围好
Java开发工程师,748569,猿力未来,2000人以上,教育,1-3年,北京,25k-40k,本科,全职,[],带薪病假 节日福利 高配置开发工具 加班
高级java开发工程师,159101,海柔创新,150-500人,硬件,5-10年,深圳,25k-50k,本科,全职,"['产品导向', '产品型团队', '客户导向', '工程师文化']",行业细分领域世界领先
java开发工程师,39772,凌志软件,2000人以上,金融,3-5年,深圳,13k-15k,本科,全职,"['技能培训', '年底双薪', '免费班车', '带薪年假']",工作稳定，交通便捷，福利待遇佳 无加班
高级java开发工程师,39772,凌志软件,2000人以上,金融,5-10年,深圳,16k-18k,本科,全职,"['技能培训', '年底双薪', '免费班车', '带薪年假']",工作稳定，交通便捷，福利待遇佳 无加班
java开发工程师,135719,步峰信息,50-150人,"移动互联网,企业服务",3-5年,北京,13k-20k,大专,全职,[],双休 五险一金
Java开发工程师,50702,美团,2000人以上,消费生活,3-5年,北京,25k-40k,本科,全职,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",成长快，技术氛围好
java开发工程师,120936077,现代财产保险,50-150人,金融,1-3年,北京,10k-20k,本科,全职,[],互联网保险公司
java高级开发工程师,120936077,现代财产保险,50-150人,金融,5-10年,北京,20k-35k,本科,全职,[],互联网保险公司
java开发工程师,86102449,德科信息,2000人以上,"软件开发,物联网",3-5年,上海,10k-15k,大专,全职,"['股票期权', '帅哥多', '领导好', '技能培训']",周末双休，下午茶，
Java开发工程师,86102449,德科信息,2000人以上,"软件开发,物联网",3-5年,上海,10k-20k,本科,全职,"['股票期权', '帅哥多', '领导好', '技能培训']",微服务框架
java开发工程师,158819,华为,2000人以上,"通讯电子,软件开发",不限,北京,15k-30k,本科,全职,[],强大技术团队，更多机会展示自己的能力与才华
高级java开发工程师（互联网+会议）,22666,会小二网,150-500人,企业服务,5-10年,北京,20k-40k,本科,全职,"['行业领先', '扁平化管理', '学习型组织', '发展空间大']",B轮 知名VC 互联网+会议 行业独角兽
高级java开发工程师（互联网+会议）,22666,会小二网,150-500人,企业服务,5-10年,北京,20k-40k,本科,全职,"['行业领先', '扁平化管理', '学习型组织', '发展空间大']",B轮 知名VC 互联网+会议 行业独角兽
java高级开发工程师,410579,建信金科,2000人以上,"金融,软件开发",5-10年,南京,15k-19k,本科,全职,"['绩效奖金', '带薪年假', '交通补助', '通讯津贴']",工作稳定、五险一金、团队优秀
Java开发工程师,484985,拉勾猎头,500-2000人,"移动互联网,企业服务",3-5年,上海,15k-30k,本科,全职,"['一手内推信息', '猎头专业服务', '名企保面试', '精准高效对接']",长期激励
java开发工程师,440388,深圳市金矿网路科技有限公司,15-50人,移动互联网,3-5年,深圳,14k-20k,本科,全职,"['弹性工作', '节日礼物', '绩效奖金', '专项奖金']",带薪年假 出游 下午茶 奖金 地铁口
java开发工程师,2696,G7,500-2000人,"物联网,数据服务",3-5年,北京,20k-30k,本科,全职,"['节日礼物', '技能培训', '专项奖金', '绩效奖金']",六险一金 带薪年假
Java开发工程师,3060,华为技术有限公司,2000人以上,通讯电子,不限,深圳,15k-30k,本科,全职,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",工作地北京、深圳均可。前景广阔，薪资可观
java开发工程师,117425168,胡杨供应链,150-500人,"电商,物流丨运输",1-3年,杭州,10k-12k,本科,全职,[],五险一金 节日福利 法定假日
高级java开发工程师,117685655,锅圈供应链,500-2000人,不限,5-10年,上海,20k-40k,本科,全职,"['管理规范', '美女多', '领导好', '扁平管理']",年终奖、双休、节日福利
java开发工程师,117685655,锅圈供应链,500-2000人,不限,3-5年,上海,15k-22k,本科,全职,"['管理规范', '美女多', '领导好', '扁平管理']",年终奖、双休、节日福利
java高级开发工程师,416782,鲜恬,500-2000人,"移动互联网,消费生活",5-10年,深圳,15k-20k,大专,全职,"['绩效奖金', '股票期权', '带薪年假', '扁平管理']",潜力股
java开发工程师,17751,人人车,2000人以上,汽车丨出行,1-3年,北京,12k-20k,本科,全职,"['岗位晋升', '扁平管理', '个人成长快', '牛人多']",牛人多，进步快，平台空间大
Java开发工程师 （数据平台产品）-BJ,194937,深演智能,150-500人,"移动互联网,广告营销",不限,北京,13k-15k,本科,全职,"['股票期权', '年度旅游', '美女多', '弹性工作']",六险一金、团队氛围
